"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1363802057.77384","1522193651.90918","1648463551.39372","1810857555.71355","2001255995.43253","2095259749.36622","2158919231.52576","2350908521.45757","2424685609.62548","2489440705.3788","2739898103.35839","2918754740.49044","2936102553.44095","3027319748.04592","3335469123.9986","3426871110.38706","3572376596.66142","3782521886.26849","3926175809.09413","3489075178.01763","3434946033.90831","3623931877.15193","3549697827.01878","3793907213.86807","3808447873.65563","3881688126.57656","3926948315.28476","4080273098.09897","4278670721.5542","4270959490.77484","3146467247.47262","3844492519.39592","4469402564.46609","4827649139.5398","",
"Africa Eastern and Southern","AFE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562659613895.854","582534745596.207","584404061457.569","597495392644.519","621285005076.332","662681751688.018","712067436170.179","755685379244.367","778490351239.177","812103349703.107","859524746979.873","911404508953.923","962185722957.328","1013663724455.15","1099768073204.77","1204928039280.09","1324939910702.79","1452049606469.96","1547458114077.89","1569212316102.4","1669951503816.24","1772426779156.35","1774842318209.71","1892902523626.03","2025000050366.65","2098439889661.83","2213627957012.21","2370704997467.48","2399862875505.44","2529979458438.01","2520497677962.36","2786724859496.5","3095371846627.92","3282875728140.98","",
"Afghanistan","AFG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16377032684.0304","15166333854.3391","19806995164.3363","21981995255.6761","22892320780.3777","26261445894.2876","28521625036.823","33344679966.3334","35321124704.8351","43140953896.2127","49936634725.0092","51184181904.4289","60766467131.1993","67458857272.9888","72946664022.0665","77274315044.0326","76798750471.4042","83362066704.4832","89369237677.5116","97800733345.013","100094011602.726","85767546197.7544","86148711748.6854","91668110208.7869","",
"Africa Western and Central","AFW","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","361941163463.317","378679172917.094","396199603553.523","401009926719.632","409161261217.892","426436949934.794","454591873143.987","483219088056.433","506740502703.242","522569922704.424","554361626629.128","596273602345.019","662672054211.648","713039115827.761","789953554262.782","862003022727.962","935741669754.512","1013136641334.92","1097651065467.95","1171348848850.49","1266990207803.83","1356983747905.75","1439677505675.94","1544377571803.18","1670199963432.47","1694560848774.61","1716472316758.45","1791388832382.63","1898355098144.29","2063901923475.93","2108007319756.44","2283307241252.37","2540292084739.94","2721955329231.77","",
"Angola","AGO","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38839000563.364","40550517457.1324","39053200831.9435","30390584820.8692","31455215608.227","36931943525.4287","42701857933.6702","46598046522.4368","49332296061.9181","51121804409.3445","53876764896.3585","57406983085.6472","66266055980.3041","69594829726.1744","79291855044.371","94069250792.273","108170250181.419","126666092621.188","143527785548.898","145654989374.478","153909425849.431","162538811659.181","185178296910.381","197839278641.871","217021998765.783","200475818990.044","199721223732.138","211424030475.15","229965233516.952","243736138717.595","215784887951.053","255820605533.992","282403642417.85","295495059201.111","",
"Albania","ALB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8378189615.17785","6236111910.52371","5919813797.62","6639445639.59051","7344245879.01176","8497171275.31169","9440133264.08128","8554285737.30408","9451401335.116","10792590418.0358","11927647217.7463","13161281200.0505","14221936769.7164","15199081207.1828","16429864256.3326","17663339808.6821","19650605982.0099","21636677115.0621","24251509313.7496","25799430598.8088","28043983882.8532","29655434460.8985","30530323463.7551","30603984672.6622","32529114332.5753","33594862841.1183","34740018470.3987","36697018307.4893","39260146010.5728","42219927439.8111","41182818891.6768","45345855492.4208","54015597669.7954","58388139910.2781","",
"Andorra","AND","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1310131885.00192","1388922114.78348","1433773796.34784","1452619188.87901","1518993228.46674","1593606271.82937","1698236547.27091","1884167759.8052","1966215054.5902","2075776156.14653","2197696491.54964","2429638530.98139","2579571697.21476","2859201638.04096","3174958697.61919","3451259350.70733","3728768817.97145","3889274660.20568","3743831887.47085","3567168968.06525","3539214038.01025","3611940399.97741","3496180919.84745","3429540494.91703","3576657555.16905","3661620791.67045","3833543204.96549","3915698820.58319","4152298789.83756","4395348448.44156","4031176207.5678","4649508748.84024","5457407403.46603","5799854946.9651","",
"Arab World","ARB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1516807628618.9","1624606320173.45","1767038895710.98","1865990125374.67","1962544780277.44","2054765968442.52","2191296694528.6","2349253048835.01","2498572446426.01","2612254339759.34","2844495111516.76","2970833229975.88","3047207688334.41","3216065957142.75","3612322418273.82","3929452738360.21","4294561750705.64","4606848052776.66","4958526928683.57","5020857246207.66","5326758730879.66","5647911453687.29","6099853309696.93","6216866826567.3","6265396545593.66","5803433794170.33","5745219923906.96","6119125607873.64","6679062870221.33","6865275570848.94","6412218418049.51","7155925616366.57","8106621963779","8494118234734.76","",
"United Arab Emirates","ARE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165048348648.546","172097530003.326","181907133314.7","188567499474.299","205875343585.347","224249304379.684","241595714092.327","265890786305.109","269664153040.432","281417144054.303","319024983529.327","330772370343.394","344086842269.951","381759554548.38","429528265224.049","464504006621.681","525932447594.225","557382797842.696","586255468626.965","558944883549.025","574805592735.811","623132238940.3","645566759648.501","657868026080.28","687052388196.079","609998221072.948","604925118660.808","627578031207.677","701667873645.863","726238678123.863","614384479785.391","645375981370.255","743309077890.844","797922323235.95","",
"Argentina","ARG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","234476844267.811","264545654103.017","292050532467.766","323509736780.189","349701129024.899","346874927357.191","372747062321.258","409929944194.559","430497422057.736","421808836966.959","427960175929.515","418303583382.2","378523791536.162","420107758522.018","470358838998.299","528046724341.377","588133949202.995","658480356255.634","698398185501.633","661115953565.387","736904550743.655","797263881242.037","819219854484.205","848625298160.51","838428063163.02","865155580188.784","882649216798.351","1035699067575.93","1090043170151.08","1057633159930.82","1011999397129.76","1191725417699.43","1343969240640.99","1369900046451.37","",
