Country,Abbrev,Region,MostPopulousCity,Latitude,Longitude,N_years_birth,N_years_death,Birth_pvals_12m,Birth_pvals_6m,Death_pvals_12m,Death_pvals_6m
Qatar,Qatar,Asia,Doha,25.2854,51.533,37,19,7.52668685725094e-27,1.40189338249581e-06,2.6941253924727e-11,0.537651783
United Arab Emirates,United Arab Emirates,Asia,Dubai,25.2048,55.271,4,NaN,0.000528941,1,NaN,NaN
Bahamas,Bahamas,Caribbean,Nassau,25.0443,-77.3504,9,24,1.1745438835708e-07,1,1,0.010392192
Pakistan,Pakistan,Asia,Karachi,24.8607,67.009,19,15,5.40822804013404e-23,0.02458304,1,0.654574924
Oman,Oman,Asia,Muscat,23.588,58.388,7,NaN,0.000367286,1,NaN,NaN
Cuba,Cuba,Caribbean,Havana,23.1136,-82.366,49,40,2.38490231152479e-103,0.47464784,2.08682869779555e-08,6.19158062457449e-23
"China, Hong Kong SAR","China, Hong Kong",Asia,Hong Kong,22.3193,114.109,49,38,1.5122911335684e-79,1,1.61549112044237e-61,8.92841488495878e-07
"China, Macao SAR","China, Macao",Asia,Macao,22.1987,113.543,36,38,1.82384306512751e-64,1,8.32904442847077e-30,0.000185905
Turks and Caicos Islands,Turks-Caicos Islands,Caribbean,Providenciales,21.7738,-72.279,NaN,NaN,NaN,NaN,NaN,NaN
Mexico,Mexico,North America,Mexico City,19.4326,-99.133,9,37,1.55972582382336e-12,0.025070407,3.60751101705234e-53,5.11856652449212e-12
Cayman Islands,Cayman Islands,Caribbean,George Town,19.2966,-81.367,NaN,NaN,NaN,NaN,NaN,NaN
British Virgin Islands,British Virgin Islands,Caribbean,Road Town,18.4286,-64.618,NaN,NaN,NaN,NaN,NaN,NaN
Puerto Rico,Puerto Rico,Caribbean,San Juan,18.4153,-66.105,50,31,4.76557642789846e-87,0.005208092,1.89804498958766e-20,0.000447738
United States Virgin Islands,US Virgin Islands,North America,Charlotte Amalie,18.3419,-64.934,25,NaN,1.62986857860959e-33,1,NaN,NaN
Anguilla,Anguilla,Caribbean,The Valley,18.2148,-63.05,NaN,NaN,NaN,NaN,NaN,NaN
Saint-Martin (French part),St. Martin,Caribbean,Marigot,18.0675,-63.082,NaN,NaN,NaN,NaN,NaN,NaN
Jamaica,Jamaica,Caribbean,Kingston,18.0179,-76.811,15,NaN,1.1572970744257e-22,1,NaN,NaN
Saint Barthélemy,St. Barthélemy,Caribbean,Gustavia,17.8964,-62.849,NaN,NaN,NaN,NaN,NaN,NaN
Saint Kitts and Nevis,St. Kitts-Nevis,Caribbean,Basseterre,17.3026,-62.7177,NaN,NaN,NaN,NaN,NaN,NaN
Antigua and Barbuda,Antigua-Barbuda,Caribbean,St John's,17.1274,-61.846,NaN,NaN,NaN,NaN,NaN,NaN
Montserrat,Montserrat,Caribbean,Salem,16.7495,-62.226,NaN,NaN,NaN,NaN,NaN,NaN
Guadeloupe,Guadeloupe,Caribbean,Les Abymes,16.2714,-61.531,24,14,1.97656823652055e-30,1,1,0.861318028
