Country,Most populous city,Latitude,Country's Biggest Holiday ,Date/Month of Biggest Holiday 
Saint-Martin (French part),Marigot,18.0675° N,st martin day,November 11
Saint Pierre and Miquelon,Saint PIerre,21.3409° S,national day,July 14
Saint Vincent and the Grenadines,Kingstown,13.1600° N,independence day,October 27
Suriname,Paramaribo,5.8520° N,keti koti  ,July 1
Sweden,Stockholm,59.3293° N,midsummer eve,june
Switzerland,Zurich,47.3769° N,national day ,August 1
Tajikistan,Dushanbe,38.5598° N,nawruz ,March
Tonga,Nuku'alofa,"21.1343° S,",heilala,July 4
Trinidad and Tobago,Port of Spain,10.6603° N,independence day,August 31
Tunisia,Tunis,36.8065° N,independence day,March 20
Türkiye,Istanbul,41.0082° N,republic day ,October 29
Turks and Caicos Islands,Providenciales,21.7738° N,christmas,December 25
United Arab Emirates,Dubai,25.2048° N,national day,December 2
Ukraine,Kyiv,50.4504° N,independence day,August 24
United Kingdom of Great Britain and Northern Ireland,London,51.5072° N,christmas,December 25
Uruguay,Montevideo,34.9055° S,carnival ,february
United States of America,New York City,40.7128° N,christmas,December 25
United States Virgin Islands,Charlotte Amalie,18.3419° N,st croix day,January
Uzbekistan,Tashkent,41.2995° N,navruz,march
Venezuela (Bolivarian Republic of),Caracas,10.4806° N,carnival ,february
