	Country	Most populous city	Latitude	Longitude	Region	Latitude_numeric	Longitude_numeric	MR_3	MR_4	MR_6	MR_12	BR_3	BR_4	BR_6	BR_12
Åland Islands	Åland Islands	Mariehamm	60.0971° N	19.944° E	Europe	60.0971	19.944								
Albania	Albania	Tirana	41.3275° N	19.818° E	Europe	41.3275	19.818	1.0	1.0	1.0	1.0947247375075975e-32	1.0	1.0	1.0	4.937640920454547e-23
Algeria	Algeria	Algiers	36.7538° N	3.042° E	Africa	36.7538	3.042					1.0	1.0	0.00012433425399885088	1.0
American Samoa	American Samoa	Pago Pago	14.2732° S	170.702° W	Oceania	-14.2732	-170.702					1.0	1.0	1.0	3.192369551786741e-27
Andorra	Andorra	Andorra la Vella	42.5063° N	1.521° E	Europe	42.5063	1.521								
Anguilla	Anguilla	The Valley	18.2148° N	63.050° W	Caribbean	18.2148	-63.05								
Antigua and Barbuda	Antigua and Barbuda	St John's	17.1274° N	61.846° W	Caribbean	17.1274	-61.846					0.9999999999995245	0.9999999999999937	1.0	4.6754318314957394e-08
Argentina	Argentina	Buenos Aires	34.6037° S	58.381° W	South America	-34.6037	-58.381	1.0	1.0	1.0	7.61868075151142e-05	1.0	1.0	0.9999999999990743	1.4248162595321265e-08
Armenia	Armenia	Yerevan	40.1872° N	44.499° E	Asia	40.1872	44.499	1.0	1.0	1.0	9.576044045722496e-09	0.9999999997357343	1.0	0.006693627583851343	7.215462927230727e-07
Aruba	Aruba	Orangestad	12.5227° N	70.037° W	Caribbean	12.5227	-70.037					1.0	1.0	1.0	0.27527248114613223
Australia	Australia	Sydney	33.8688° S	151.207° E	Oceania	-33.8688	151.207	1.0	1.0	0.010691514578858854	4.768322145414486e-156	1.0	0.00012761118613024972	3.1559101583459774e-20	4.205506745464999e-11
Austria	Austria	Vienna	48.2081° N	16.373° E	Europe	48.2081	16.373	1.0	1.0	0.02850686115356218	8.224365812033671e-108	1.0	0.29918022848003123	4.7384148165535916e-26	3.845810465105416e-18
Azerbaijan	Azerbaijan	Baku	40.4093° N	49.867° E	Asia	40.4093	49.867	1.0	1.0	1.0	5.051594190903858e-20	1.0	1.0	0.9976010723943218	7.928876076844171e-06
Bahamas	Bahamas	Nassau	25.0443° N	77.3504° W	Caribbean	25.0443	-77.3504	1.0	1.0	0.0005246937714594708	1.0	1.0	1.0	0.9999999581821879	1.933244702552486e-11
Bahrain	Bahrain	Manama	26.2235° N	50.586° E	Asia	26.2235	50.586	1.0	1.0	0.998276740755561	2.674577669229619e-11	1.0	1.0	1.0	7.216714287566514e-13
Barbados	Barbados	Bridgetown	13.0971° N	59.618° W	Caribbean	13.0971	-59.618	1.0	1.0	0.7678288534505237	0.9999999999621126	1.0	1.0	0.9998642718833876	5.1447367428301e-13
Belarus	Belarus	Minsk	53.9006° N	27.559° E	Europe	53.9006	27.559	1.0	0.9999999950611772	1.0	5.101672771294458e-82	0.03385517199427095	0.9999999999999785	2.440439096677245e-05	1.6368254698609477e-18
