PopName,Area,Year,YearReg,Month,Vital,Births,Access,Note1,Note2,Note3,RefCode,LDB
CHE,1,1871,1871,1,1,6829,O,.,.,.,2,1
CHE,1,1871,1871,2,1,6185,O,.,.,.,2,1
CHE,1,1871,1871,3,1,7056,O,.,.,.,2,1
CHE,1,1871,1871,4,1,6348,O,.,.,.,2,1
CHE,1,1871,1871,5,1,6553,O,.,.,.,2,1
CHE,1,1871,1871,6,1,6596,O,.,.,.,2,1
CHE,1,1871,1871,7,1,6699,O,.,.,.,2,1
CHE,1,1871,1871,8,1,6673,O,.,.,.,2,1
CHE,1,1871,1871,9,1,6283,O,.,.,.,2,1
CHE,1,1871,1871,10,1,6257,O,.,.,.,2,1
CHE,1,1871,1871,11,1,6125,O,.,.,.,2,1
CHE,1,1871,1871,12,1,6029,O,.,.,.,2,1
CHE,1,1871,1871,TOT,1,77633,O,.,.,.,2,1
CHE,1,1872,1872,1,1,6611,O,.,.,.,2,1
CHE,1,1872,1872,2,1,6577,O,.,.,.,2,1
CHE,1,1872,1872,3,1,7219,O,.,.,.,2,1
CHE,1,1872,1872,4,1,6872,O,.,.,.,2,1
CHE,1,1872,1872,5,1,6908,O,.,.,.,2,1
CHE,1,1872,1872,6,1,6589,O,.,.,.,2,1
CHE,1,1872,1872,7,1,6681,O,.,.,.,2,1
CHE,1,1872,1872,8,1,6582,O,.,.,.,2,1
CHE,1,1872,1872,9,1,6629,O,.,.,.,2,1
CHE,1,1872,1872,10,1,6771,O,.,.,.,2,1
CHE,1,1872,1872,11,1,6447,O,.,.,.,2,1
CHE,1,1872,1872,12,1,6443,O,.,.,.,2,1
CHE,1,1872,1872,TOT,1,80329,O,.,.,.,2,1
CHE,1,1873,1873,1,1,6915,O,.,.,.,2,1
CHE,1,1873,1873,2,1,6662,O,.,.,.,2,1
CHE,1,1873,1873,3,1,7270,O,.,.,.,2,1
CHE,1,1873,1873,4,1,6820,O,.,.,.,2,1
CHE,1,1873,1873,5,1,6806,O,.,.,.,2,1
CHE,1,1873,1873,6,1,6439,O,.,.,.,2,1
CHE,1,1873,1873,7,1,6671,O,.,.,.,2,1
CHE,1,1873,1873,8,1,6767,O,.,.,.,2,1
CHE,1,1873,1873,9,1,6761,O,.,.,.,2,1
CHE,1,1873,1873,10,1,6613,O,.,.,.,2,1
CHE,1,1873,1873,11,1,6418,O,.,.,.,2,1
CHE,1,1873,1873,12,1,6430,O,.,.,.,2,1
CHE,1,1873,1873,TOT,1,80572,O,.,.,.,2,1
CHE,1,1874,1874,1,1,7065,O,.,.,.,2,1
CHE,1,1874,1874,2,1,6272,O,.,.,.,2,1
CHE,1,1874,1874,3,1,7051,O,.,.,.,2,1
CHE,1,1874,1874,4,1,6722,O,.,.,.,2,1
CHE,1,1874,1874,5,1,6924,O,.,.,.,2,1
CHE,1,1874,1874,6,1,6876,O,.,.,.,2,1
CHE,1,1874,1874,7,1,7133,O,.,.,.,2,1
CHE,1,1874,1874,8,1,7128,O,.,.,.,2,1
CHE,1,1874,1874,9,1,7130,O,.,.,.,2,1
CHE,1,1874,1874,10,1,7090,O,.,.,.,2,1
CHE,1,1874,1874,11,1,6927,O,.,.,.,2,1
CHE,1,1874,1874,12,1,6733,O,.,.,.,2,1
CHE,1,1874,1874,TOT,1,83051,O,.,.,.,2,1
CHE,1,1875,1875,1,1,7367,O,.,.,.,2,1
CHE,1,1875,1875,2,1,6714,O,.,.,.,2,1
CHE,1,1875,1875,3,1,7545,O,.,.,.,2,1
CHE,1,1875,1875,4,1,7235,O,.,.,.,2,1
CHE,1,1875,1875,5,1,7451,O,.,.,.,2,1
CHE,1,1875,1875,6,1,7383,O,.,.,.,2,1
CHE,1,1875,1875,7,1,7890,O,.,.,.,2,1
CHE,1,1875,1875,8,1,7544,O,.,.,.,2,1
CHE,1,1875,1875,9,1,7366,O,.,.,.,2,1
CHE,1,1875,1875,10,1,7413,O,.,.,.,2,1
CHE,1,1875,1875,11,1,6699,O,.,.,.,2,1
CHE,1,1875,1875,12,1,6972,O,.,.,.,2,1
CHE,1,1875,1875,TOT,1,87579,O,.,.,.,2,1
CHE,1,1876,1876,1,1,7805,O,.,.,.,2,1
CHE,1,1876,1876,2,1,7680,O,.,.,.,2,1
CHE,1,1876,1876,3,1,8241,O,.,.,.,2,1
CHE,1,1876,1876,4,1,7721,O,.,.,.,2,1
CHE,1,1876,1876,5,1,7616,O,.,.,.,2,1
CHE,1,1876,1876,6,1,7258,O,.,.,.,2,1
CHE,1,1876,1876,7,1,7736,O,.,.,.,2,1
CHE,1,1876,1876,8,1,7534,O,.,.,.,2,1
CHE,1,1876,1876,9,1,7318,O,.,.,.,2,1
